GeneSymbol	UniprotKB
A1BG	P04217
A2BP1	Q9NWB1
A2M	P01023
A4GALT	Q9NPC4
AAAS	Q9NRG9
AAMP	Q13685
AANAT	Q16613
AARS	P49588
AARS2	Q5JTZ9
AARSD1	Q9BTE6
AASDHPPT	Q9NRN7
AATF	Q9NY61
ABAT	P80404
ABCA1	O95477
ABCA2	Q9BZC7
ABCA3	Q99758
ABCA5	Q8WWZ7
ABCB1	P08183
ABCB11	O95342
ABCB4	P21439
ABCB6	Q9NP58
ABCB8	Q9NUT2
ABCC1	P33527
ABCC2	Q92887
ABCC3	O15438
ABCC5	O15440
ABCC6	O95255
ABCC9	Q8N4N7
ABCD1	P33897
ABCD2	Q9UBJ2
ABCD3	P28288
ABCD4	O14678
ABCF1	Q8NE71
ABCF2	Q9UG63
ABCF3	Q9NUQ8
ABCG2	Q9UNQ0
ABCG4	Q9H172
ABCG5	Q9H222
ABCG8	Q9H221
ABHD15	Q6UXT9
ABHD3	Q8WU67
ABHD4	Q8TB40
ABHD5	Q8WTS1
ABI1	Q8IZP0
ABI2	Q9NYB9
ABI3	Q9P2A4
ABI3BP	Q7Z7G0
ABL1	P00519
ABL2	P42684
ABLIM1	O14639
ABLIM2	Q6H8Q1
ABLIM3	O94929
ABRA	Q8N0Z2
ABT1	Q9ULW3
ABTB1	Q969K4
ACACA	Q13085
ACACB	O00763
ACAD10	Q6JQN1
ACAD8	Q9UKU7
ACAD9	Q9H845
ACADM	P11310
ACADS	P16219
ACADVL	P49748
ACAN	P16112
ACAP1	Q15027
ACAP3	Q96P50
ACAT1	P24752
ACAT2	Q9BWD1
ACBD3	Q9H3P7
ACBD6	Q9BR61
ACCS	Q96QU6
ACD	Q96AP0
ACE2	Q9BYF1
ACHE	P22303
ACIN1	Q9UKV3
ACLY	P53396
ACMSD	Q8TDX5
ACO1	P21399
ACOT13	Q9NPJ3
ACOT2	P49753
ACOT7	O00154
ACP1	P24666
ACP5	P13686
ACP6	Q9NPH0
ACPP	P15309
ACSBG1	Q96GR2
ACSF2	Q96CM8
ACSL1	P33121
ACSL3	O95573
ACSL4	O60488
ACSL6	Q9UKU0
ACSM5	Q6NUN0
ACSS2	Q9NR19
ACSS3	Q9H6R3
ACTA1	P68133
ACTA2	P62736
ACTB	P60709
ACTC1	P68032
ACTG1	P63261
ACTL6A	O96019
ACTL6B	O94805
ACTN1	P12814
ACTN2	P35609
ACTN3	Q08043
ACTN4	O43707
ACTR1A	P61163
ACTR1B	P42025
ACTR2	P61160
ACTR3	P61158
ACTR3B	Q9P1U1
ACTR5	Q9H9F9
ACTR8	Q9H981
ACVR1B	P36896
ACVR1C	Q8NER5
ACVR2A	P27037
ACVR2B	Q13705
ACVRL1	P37023
ACY1	Q03154
ACY3	Q96HD9
ADA	P00813
ADAM10	O14672
ADAM15	Q13444
ADAM17	P78536
ADAM19	Q9H013
ADAM20	O43506
ADAM22	Q9P0K1
ADAM23	O75077
ADAM33	Q9BZ11
ADAM8	P78325
ADAM9	Q13443
ADAMTS10	Q9H324
ADAMTS12	P58397
ADAMTS4	O75173
ADAMTS5	Q9UNA0
ADAMTS7	Q9UKP4
ADAMTSL2	Q86TH1
ADAMTSL4	Q6UY14
ADAP1	O75689
ADAP2	Q9NPF8
ADAR	P55265
ADARB1	P78563
ADAT2	Q7Z6V5
ADAT3	Q96EY9
ADCK1	Q86TW2
ADCK4	Q96D53
ADCK5	Q3MIX3
ADCY3	O60266
ADCY4	Q8NFM4
ADCY6	O43306
ADCY7	P51828
ADCYAP1	P18509
ADCYAP1R1	P41586
ADD1	P35611
ADD3	Q9UEY8
ADH1A	P07327
