ENSEMBL	T2	GC3	Conections	AveExp	Stages	class	entrezgene_id	hgnc_symbol	description								L	H1	H2+H3	
ENSG00000166012	21.50537634	26.52329749	43	26.5529109	Stage II	L	79101	TAF1D	"TATA-box binding protein associated factor, RNA polymerase I subunit D [Source:HGNC Symbol;Acc:HGNC:28759]"								20-50	50-70	70-90	soma
ENSG00000147874	27.51046025	32.63598326	74	13.92524423	Stage II	L	54801	HAUS6	HAUS augmin like complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25948]								27	22	31	80
ENSG00000163728	21.40077821	33.07392996	12	16.16609936	Stage II	L	151613	TTC14	tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697]								34	28	39	%
ENSG00000100644	25.3929867	33.37363966	89	222.3326571	Stage II	L	3091	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]											
ENSG00000038427	23.10862526	33.38239623	4	52.29463782	Stage II	L	1462	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]											
ENSG00000028116	26.32612967	35.55992141	26	27.58091218	Stage II	L	7444	VRK2	VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]											
ENSG00000115504	22.4025974	36.2012987	7	26.78285128	Stage II	L	23301	EHBP1	EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]											
ENSG00000114796	29.78369384	37.43760399	5	56.06665769	Stage II	L	54800	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]											
ENSG00000115392	30.85106383	37.76595745	42	29.28675962	Stage II	L	55120	FANCL	FA complementation group L [Source:HGNC Symbol;Acc:HGNC:20748]											
ENSG00000170006	31.52173913	38.04347826	1	10.960825	Stage II	L	201799	TMEM154	transmembrane protein 154 [Source:HGNC Symbol;Acc:HGNC:26489]											
ENSG00000154642	23.45679012	38.27160494	1	23.69497628	Stage II	L	54149	C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]											
ENSG00000141429	30	38.39285714	1	113.6769583	Stage II	L	2589	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]											
ENSG00000116044	26.07260726	38.77887789	12	207.4589244	Stage II	L	4780	NFE2L2	NFE2 like bZIP transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:7782]											
ENSG00000166598	26.40099626	39.10336239	55	712.9215077	Stage II	L	7184	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]											
ENSG00000163558	28.23129252	39.11564626	54	80.18855321	Stage II	L	5584	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]											
ENSG00000111799	24.70626632	39.49086162	2	77.16495128	Stage II	L	1303	COL12A1	collagen type XII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2188]											
ENSG00000211455	28.38709677	40.86021505	9	36.60065705	Stage II	L	23012	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]											
ENSG00000148019	26.41770401	41.35546335	7	6.484223718	Stage II	L	84131	CEP78	centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740]											
ENSG00000153107	30.28277635	42.21079692	31	7.472703205	Stage II	L	64682	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]											
ENSG00000169855	21.61016949	42.37288136	12	27.64444615	Stage II	L	6091	ROBO1	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]											
ENSG00000106080	30.18867925	43.39622642	4	16.55645897	Stage II	L	55033	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]											
ENSG00000152990	26.66666667	45.77777778	1	15.88434615	Stage II	L	166647	ADGRA3	adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]											
ENSG00000100372	37.33766234	45.77922078	3	30.00354295	Stage II	L	10478	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]											
ENSG00000078070	27.41046832	46.69421488	6	59.612425	Stage II	L	56922	MCCC1	methylcrotonyl-CoA carboxylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:6936]											
ENSG00000133131	24.4173141	46.72586016	6	28.66467564	Stage II	L	79710	MORC4	MORC family CW-type zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:23485]											
ENSG00000148498	20.92851879	47.60501105	48	59.52275256	Stage II	L	56288	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]											
ENSG00000125630	31.60211268	49.64788732	22	17.33829423	Stage II	L	84172	POLR1B	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]											
