ENSEMBL	T2	GC3	Conections	AveExp	Stages	class	entrezgene_id	hgnc_symbol	description								L	H1	H2+H3	
ENSG00000123106	24.88687783	29.18552036	7	21.10988481	Stage I	L	55297	CCDC91	coiled-coil domain containing 91 [Source:HGNC Symbol;Acc:HGNC:24855]								20-50	50-70	70-90	soma
ENSG00000111530	32.49390739	32.33143786	28	49.05616203	Stage I	L	55832	CAND1	cullin associated and neddylation dissociated 1 [Source:HGNC Symbol;Acc:HGNC:30688]								9	7	3	19
ENSG00000174953	28.04757185	34.48959366	18	34.11452194	Stage I	L	170506	DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]								47	37	16	%
ENSG00000124279	33.4841629	36.65158371	68	15.50191055	Stage I	L	79072	FASTKD3	FAST kinase domains 3 [Source:HGNC Symbol;Acc:HGNC:28758]											
ENSG00000164305	27.69784173	36.69064748	50	57.73507173	Stage I	L	836	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]											
ENSG00000154639	26.50273224	37.43169399	7	59.32515232	Stage I	L	1525	CXADR	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]											
ENSG00000082497	21.28851541	43.1372549	6	16.26666709	Stage I	L	56256	SERTAD4	SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]											
ENSG00000039560	24.26095821	45.87155963	30	85.78863333	Stage I	L	26064	RAI14	retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]											
ENSG00000163785	30.64250412	48.9291598	2	47.33153966	Stage I	L	6259	RYK	receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]											
ENSG00000075643	26.88413948	58.26771654	5	11.76892616	Stage I	H1	55034	MOCOS	molybdenum cofactor sulfurase [Source:HGNC Symbol;Acc:HGNC:18234]											
ENSG00000158477	30.18292683	58.84146341	4	8.162733755	Stage I	H1	909	CD1A	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]											
ENSG00000160051	16.91648822	59.74304069	4	6.326051477	Stage I	H1	55721	IQCC	IQ motif containing C [Source:HGNC Symbol;Acc:HGNC:25545]											
ENSG00000143578	25.75757576	61.11111111	4	20.33030675	Stage I	H1	148327	CREB3L4	cAMP responsive element binding protein 3 like 4 [Source:HGNC Symbol;Acc:HGNC:18854]											
ENSG00000136689	30.33707865	65.73033708	3	101.7532511	Stage I	H1	3557	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]											
ENSG00000028310	22.40802676	65.88628763	4	24.90905654	Stage I	H1	65980	BRD9	bromodomain containing 9 [Source:HGNC Symbol;Acc:HGNC:25818]											
ENSG00000154122	37.11967546	69.77687627	1	32.22860422	Stage I	H1	56172	ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]											
ENSG00000126705	17.94871795	73.77289377	9	25.96500084	Stage I	H2+H3	27245	AHDC1	AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]											
ENSG00000148308	25.38461538	76.15384615	23	79.73149072	Stage I	H2+H3	9328	GTF3C5	general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]											
ENSG00000133069	22.3943662	83.38028169	26	8.118610549	Stage I	H2+H3	9911	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]											
