UniprotKB	GeneSymbol	GC3	T2	Conections
A0A024QZP7	CDC2	57.0469798657718	31.5436241610738	2
A0A024R0Y4	TADA2L	47.7477477477478	25.6756756756757	1
A0A024R644	CLN5	46.8137254901961	26.7156862745098	6
A0A087WSW0	HELT	80.2469135802469	23.8683127572016	8
A0A087WUH9	PLK2	47.9940564635958	26.3001485884101	1
A0A087WUI6	PIBF1	29.0414878397711	26.3233190271817	7
A0A087WUM8	ZNF446	71.6312056737589	18.9125295508274	1
A0A087WVE9	ARNT2	61.7852161785216	23.1520223152022	11
A0A087WX54	ZNF385C	69.2488262910798	19.7183098591549	3
A0A087WXL1	FOLR3	77.8688524590164	18.0327868852459	1
A0A087WY89	KRTAP4-1	67.96875	8.59375	26
A0A087WYA8	RALGAPA2	52.5210084033613	28.1512605042017	1
A0A087WZT3	BOLA2	69.9346405228758	25.4901960784314	18
A0A087WZU1	PTPRQ	30.2342606149341	28.2576866764275	8
A0A087WZU2	CDK16	71.7149220489978	29.3986636971047	2
A0A087WZY1	Undef	50.8474576271186	32.7683615819209	1
A0A087WZZ9	CDK1	31.4159292035398	34.5132743362832	1
A0A0A0MQZ8	ANKHD1	36.1014994232987	22.6066897347174	1
A0A0A0MR69	CCDC88C	73.1301939058172	14.9584487534626	1
A0A0A0MR80	EP400	64.604462474645	21.7038539553753	7
A0A0A0MR97	BAZ2B	30.5900621118012	18.167701863354	10
A0A0A0MRG9	CDK5RAP2	52.7472527472528	25.2014652014652	1
A0A0A0MS80	TMEM80	71.889400921659	28.5714285714286	1
A0A0A6YYJ5	MACF1	44.327731092437	22.1288515406162	1
A0A0B4J1Y2	TTC21A	65.1223776223776	30.9440559440559	3
A0A0B4J1Z1	SRSF7	33.0935251798561	18.705035971223	2
A0A0B4J233	RBP5	75.1592356687898	27.3885350318471	1
A0A0B4J269	TUBB3	89.0977443609023	32.7067669172932	8
A0A0B4J295	BOLA2-SMG1P6	71.2	26.4	1
A0A0B4J299	WNK1	35.4022988505747	26.4367816091954	1
A0A0C3SFZ9	FCHO1	73.7668161434978	21.7488789237668	34
A0A0C4DFM2	ZNF574	66.8693009118541	19.5542046605876	7
A0A0C4DFN3	MGLL	69.1082802547771	31.2101910828025	3
A0A0C4DFQ0	PDE4DIP	49.0732568402471	24.360105913504	1
A0A0C4DFQ7	KCNIP1	61.7511520737327	30.4147465437788	10
A0A0C4DFT7	GYPA	29.8013245033113	29.8013245033113	3
A0A0C4DFT8	JADE2	71.8434343434343	21.2121212121212	7
A0A0C4DFY0	SELPLG	63.6138613861386	21.2871287128713	1
A0A0C4DFY5	GPRC5C	79.4661190965092	30.5954825462012	1
A0A0C4DG38	ING3	49	30	5
A0A0C4DG62	ARL6IP4	76.2557077625571	12.3287671232877	7
A0A0C4DG91	NME6	59.6938775510204	28.0612244897959	1
A0A0C4DG94	ATP11B	35.7142857142857	33.1632653061224	2
A0A0C4DGF1	ZBTB32	64.6864686468647	19.4719471947195	37
A0A0C4DGJ5	PTCH1	51.6304347826087	31.5217391304348	1
A0A0C4DGM4	HYKK	46.6960352422907	29.0748898678414	3
A0A0C4DGQ3	ZNF556	46.2719298245614	16.0087719298246	1
A0A0C4DGQ7	EML2	74.0654205607477	28.7383177570093	6
A0A0C4DGT3	IQSEC1	82.2085889570552	24.6625766871166	1
A0A0C4DGV4	LAMTOR5	55.1724137931034	25.2873563218391	5
A0A0C4DGW0	NDFIP2	37.037037037037	28.8065843621399	1
A0A0C4DGW6	C5orf51	39.2156862745098	31.3725490196078	1
A0A0C4DGW7	FAM47A	58.2798459563543	20.2824133504493	1
A0A0G2JHK4	DDR1	68.6507936507936	25	1
A0A0G2JJL1	WDR46	54.7987616099071	26.625386996904	4
A0A1B0GTW0	DWORF	41.6666666666667	52.7777777777778	16
A0A1B0GWI1	LINC00238	30.1587301587302	22.4867724867725	21
A0A1P0AYU5	SFXN3	70.8588957055215	31.9018404907975	1
A0AUZ9	KANSL1L	34.5665961945032	24.1014799154334	1
A0AV02	SLC12A8	71.3286713286713	35.1048951048951	1
A0AV96	RBM47	76.5993265993266	23.4006734006734	11
A0AVF1	TTC26	44.5045045045045	29.3693693693694	17
A0AVG3	TSNARE1	76.504854368932	23.1067961165049	4
A0AVI4	TMEM129	85.3994490358127	29.2011019283747	3
A0AVK6	E2F8	47.6958525345622	24.5391705069124	6
A0AVT1	UBA6	30.4843304843305	29.1547958214625	5
A0FGR8	ESYT2	61.2798264642082	28.7418655097614	11
A0FGR9	ESYT3	68.3201803833146	29.4250281848929	4
A0JLT2	MED19	61.025641025641	20	120
A0JNW5	UHRF1BP1L	29.7757847533632	26.1883408071749	12
A0MZ66	SHTN1	39.3846153846154	23.8461538461538	17
A0PJW6	TMEM223	69.9507389162562	33.4975369458128	2
A0PJW8	DAPL1	37.962962962963	25	2
A0PJX0	CIB4	71.505376344086	33.3333333333333	7
A0PJX4	SHISA3	79.4979079497908	23.4309623430962	2
