id	UNIPROT	geneLength
1	A0A024QZP7	894
2	A0A024R0Y4	1332
3	A0A024R644	1224
4	A0A087WSW0	984
5	A0A087WUH9	2016
6	A0A087WUI6	2097
7	A0A087WUM8	1269
8	A0A087WVE9	2151
9	A0A087WX54	1269
10	A0A087WXL1	738
11	A0A087WY89	384
12	A0A087WYA8	714
13	A0A087WZT3	459
14	A0A087WZU1	6900
15	A0A087WZU2	1347
16	A0A087WZY1	798
17	A0A087WZZ9	675
18	A0A0A0MQZ8	2601
19	A0A0A0MR69	1521
20	A0A0A0MR80	2958
21	A0A0A0MR97	1932
22	A0A0A0MRG9	4992
23	A0A0A0MS80	651
24	A0A0A6YYJ5	5007
25	A0A0B4J1Y2	3432
26	A0A0B4J1Z1	414
27	A0A0B4J233	294
28	A0A0B4J269	2394
29	A0A0B4J295	375
30	A0A0B4J299	1305
31	A0A0C3SFZ9	2676
32	A0A0C4DFM2	2961
33	A0A0C4DFN3	942
34	A0A0C4DFQ0	7041
35	A0A0C4DFQ7	684
36	A0A0C4DFT7	453
37	A0A0C4DFT8	2376
38	A0A0C4DFY0	1209
39	A0A0C4DFY5	1461
40	A0A0C4DG38	300
41	A0A0C4DG62	657
42	A0A0C4DG91	585
43	A0A0C4DG94	588
44	A0A0C4DGF1	909
45	A0A0C4DGJ5	552
46	A0A0C4DGM4	681
47	A0A0C4DGQ3	1368
48	A0A0C4DGQ7	1284
49	A0A0C4DGT3	2445
50	A0A0C4DGV4	522
51	A0A0C4DGW0	729
52	A0A0C4DGW6	459
53	A0A0C4DGW7	2337
54	A0A0G2JHK4	420
55	A0A0G2JJL1	969
56	A0A1B0GTW0	108
57	A0A1B0GVM0	2439
58	A0A1B0GWI1	648
59	A0A1P0AYU5	978
60	A0AUZ9	2964
61	A0AV02	2145
62	A0AV96	1782
63	A0AVF1	1665
64	A0AVG3	1545
65	A0AVI4	1089
66	A0AVK6	2604
67	A0AVT1	3159
68	A0FGR8	2766
69	A0FGR9	2661
70	A0JLT2	735
71	A0JNW5	4395
72	A0MZ66	1896
73	A0PJW6	609
74	A0PJW8	324
75	A0PJX0	558
76	A0PJX4	717
77	A0PJY2	1428
78	A0PK00	1020
79	A0PK05	828
80	A0PK11	699
81	A1A4F0	408
82	A1A4S6	2361
83	A1A580	198
84	A1A5B4	2349
85	A1A5C7	2061
86	A1A5D9	1527
87	A1E959	840
88	A1KXE4	588
89	A1L0T0	1899
90	A1L162	471
91	A1L170	819
92	A1L190	267
93	A1L390	3660
94	A1L3X0	846
95	A1L3X4	150
96	A1L429	354
97	A1L453	981
98	A1L4H1	4722
99	A1L4K1	2250
100	A1L4L8	534
101	A1X283	2736
102	A1XBS5	870
103	A1YPR0	1860
104	A2A274	2418
105	A2A2Q9	1197
106	A2A2Y4	1794
107	A2A3K4	2265
108	A2A3R5	657
109	A2A4F6	393
110	A2ABF9	3804
111	A2ABH1	2190
112	A2AJT9	2136
113	A2RRC6	1227
114	A2RRD8	1530
115	A2RRE0	2448
116	A2RRH5	2484
117	A2RRP1	7116
